Frequency(Hz),   Magnitude(dB)
 5492.086, -13.631498
 5564.030, -13.503448
 5636.917, -13.382751
 5710.759, -13.269312
 5785.567, -13.162863
 5861.356, -13.076403
 5938.138, -13.003399
 6015.926, -12.946808
 6094.732, -12.907679
 6174.571, -12.880260
 6255.456, -12.864506
 6337.400, -12.859861
 6420.417, -12.861053
 6504.523, -12.885353
 6589.729, -12.921736
 6676.053, -12.962286
 6763.507, -13.002626
 6852.106, -13.055517
 6941.866, -13.120148
 7032.802, -13.187067
 7124.930, -13.241608
 7218.264, -13.308680
 7312.820, -13.373901
 7408.616, -13.433725
 7505.666, -13.492558
 7603.987, -13.554699
 7703.597, -13.614399
 7804.511, -13.676226
 7906.748, -13.747236
 8010.323, -13.832447
 8115.255, -13.926270
 8221.563, -14.007208
 8329.262, -14.085056
 8438.372, -14.160244
 8548.912, -14.211018
 8660.899, -14.242317
 8774.354, -14.278194
 8889.295, -14.305326
 9005.742, -14.334146
 9123.714, -14.372198
 9243.231, -14.416935
 9364.314, -14.474632
 9486.983, -14.544680
 9611.260, -14.624979
 9737.164, -14.713728
 9864.717, -14.812138
 9993.941, -14.900906
10124.858, -14.994118
10257.490, -15.081846
10391.859, -15.180847
10527.989, -15.298893
10665.902, -15.441200
10805.622, -15.612804
10947.172, -15.788052
11090.576, -15.938246
11235.858, -16.080801
11383.044, -16.222403
11532.158, -16.357691
11683.225, -16.491711
11836.271, -16.629450
11991.322, -16.741545
12148.404, -16.844666
12307.544, -16.941292
12468.769, -17.033712
12632.104, -17.140657
12797.581, -17.247955
12965.225, -17.349169
13135.064, -17.439310
13307.129, -17.517855
13481.447, -17.583525
13658.050, -17.650864
13836.966, -17.725126
14018.225, -17.805073
14201.858, -17.908947
14387.897, -17.995407
14576.374, -18.108332
14767.319, -18.218214
14960.766, -18.330099
15156.747, -18.438065
15355.295, -18.535082
15556.443, -18.613350
15760.228, -18.665487
15966.681, -18.689014
16175.839, -18.677904
16387.736, -18.645393
16602.410, -18.592283
16819.895, -18.539030
17040.230, -18.479874
17263.451, -18.424961
17489.596, -18.367531
17718.703, -18.315365
17950.813, -18.266460
18185.961, -18.224470
18424.191, -18.193962
18665.541, -18.180859
18910.053, -18.192074
19157.768, -18.228857
19408.729, -18.298475
19662.975, -18.396627
19920.553, -18.533556
20181.506, -18.746368
